,Titles,Genres,Developers,Publishers,ReleaseDate_JP,ReleaseDate_EU,ReleaseDate_NA,TitlesHTML,SearchLinks,HistScrapped,Reviews,LogRegSlope,LogRegIntcpt,InitPrice,MappedGenres,MappedPublishers,MappedDevelopers,ReleaseDate_Agg,Release_Year,Release_Month,Release_Day,Success,SuccessPredict,SuccessPredictProb,SuccessPredictText
4,11-11: Memories Retold,Adventure,AardmanDigixArt,Bandai Namco Entertainment,2018-11-09,2018-11-09,2018-11-09,11-11+memories+retold,https://psprices.com/region-us/search/?q=11-11+memories+retold&platform=PS4&dlc=hide,True,77.0,-0.0022154891703057623,0.08365732990105858,29.99,Adventure,HighPublishers,LowDevelopers,2018-11-09,2018.0,11.0,9.0,1,0.0,77.49213678622189,Failure
8,1001 Spikes,Platform,8bits Fanatics,Nicalis,2015-11-27,2015-10-07,2014-06-03,1001+spikes,https://psprices.com/region-us/search/?q=1001+spikes&platform=PS4&dlc=hide,True,79.0,0.0,0.0,14.99,Platformer,MedPublishers,LowDevelopers,2014-06-03,2014.0,6.0,3.0,0,0.0,63.96367856482213,Failure
9,2064: Read Only Memories,Adventure,MidBoss,MidBoss,2017-01-17,2017-01-17,2017-01-17,2064+read+only+memories,https://psprices.com/region-us/search/?q=2064+read+only+memories&platform=PS4&dlc=hide,True,79.0,-8.351614173901154e-05,-0.2728418824112891,19.99,Adventure,LowPublishers,LowDevelopers,2017-01-17,2017.0,1.0,17.0,0,0.0,77.72447300318123,Failure
10,20XX,Actionplatform,Batterystaple Games,Batterystaple Games,2018-07-10,2018-07-10,2018-07-10,20xx,https://psprices.com/region-us/search/?q=20xx&platform=PS4&dlc=hide,True,79.0,-0.0006490823532992725,-0.062488000195491035,17.99,Action,LowPublishers,LowDevelopers,2018-07-10,2018.0,7.0,10.0,0,0.0,83.76388985139114,Failure
11,The 25th Ward: The Silver Case,Visual novel,Grasshopper Manufacture,NIS America,2018-03-15,2018-03-13,2018-03-13,the+25th+ward+the+silver+case,https://psprices.com/region-us/search/?q=the+25th+ward+the+silver+case&platform=PS4&dlc=hide,True,66.0,-0.0004923746100182978,-0.03800816286294932,29.99,Adventure,MedPublishers,MedDevelopers,2018-03-13,2018.0,3.0,13.0,0,0.0,69.72199705329149,Failure
12,2Dark,"Horror, stealth",Gloomywood,Bigben Interactive,2017-06-29,2017-03-10,2017-03-10,2dark,https://psprices.com/region-us/search/?q=2dark&platform=PS4&dlc=hide,True,75.0,-0.0009214822205595669,-0.024800629888044268,49.99,Horror,HighPublishers,LowDevelopers,2017-03-10,2017.0,3.0,10.0,0,0.0,55.56602376719333,Failure
13,428: Shibuya Scramble,Visual novel,Abstraction Games,Spike Chunsoft,2018-09-06,2018-09-21,2018-09-04,428+shibuya+scramble,https://psprices.com/region-us/search/?q=428+shibuya+scramble&platform=PS4&dlc=hide,True,85.0,-0.0001074890869671281,-0.2507049095906858,49.99,Adventure,MedPublishers,MedDevelopers,2018-09-04,2018.0,9.0,4.0,0,0.0,71.55196778650507,Failure
19,88 Heroes,Platform,Bitmap Bureau,Rising Star Games,2017-03-24,2017-03-24,2017-03-24,88+heroes,https://psprices.com/region-us/search/?q=88+heroes&platform=PS4&dlc=hide,True,75.0,-0.0005663964643414519,-0.06460825876005243,14.99,Platformer,MedPublishers,MedDevelopers,2017-03-24,2017.0,3.0,24.0,0,0.0,78.7826850929697,Failure
24,Aaero,Shooter,Mad Fellows Games,Reverb Triple XP,2018-01-10,2017-04-11,2017-04-11,aaero,https://psprices.com/region-us/search/?q=aaero&platform=PS4&dlc=hide,True,67.0,-0.0005493930591670786,-0.10805009084267488,14.99,Shooter,LowPublishers,LowDevelopers,2017-04-11,2017.0,4.0,11.0,0,0.0,73.45694502436629,Failure
28,Absolver,Action role-playing,Sloclap,Devolver Digital,2019-08-22,2017-08-29,2017-08-29,absolver,https://psprices.com/region-us/search/?q=absolver&platform=PS4&dlc=hide,True,73.0,-0.0004283984628287229,0.038667477515416646,26.99,Action,HighPublishers,LowDevelopers,2017-08-29,2017.0,8.0,29.0,0,0.0,74.84455216273696,Failure
