,Titles,Genres,Developers,Publishers,ReleaseDate_JP,ReleaseDate_EU,ReleaseDate_NA
0,#killallzombies,Shooter,Beatshapers,Beatshapers,,2014-11-12,2014-10-28
1,10 Second Ninja X,Platform,Four Circle Interactive,Curve Digital,,2016-07-19,2016-07-19
2,100ft Robot Golf,Sports,No Goblin,No Goblin,,2016-10-10,2016-10-10
3,101 Ways to Die,"Platform, puzzle",Four Door Lemon,Vision Games,,2016-03-22,2016-03-22
4,11-11: Memories Retold,Adventure,AardmanDigixArt,Bandai Namco Entertainment,2018-11-09,2018-11-09,2018-11-09
5,13 Sentinels: Aegis Rim,Adventure,Vanillaware,Atlus,2019-11-28,,
6,140,Platform,Double Fine Productions,Abstraction Games,,2016-09-01,2016-09-01
7,198X,Arcade,Hi-Bit Studios,Reset Media,,2019-06-20,2019-06-16
8,1001 Spikes,Platform,8bits Fanatics,Nicalis,2015-11-27,2015-10-07,2014-06-03
9,2064: Read Only Memories,Adventure,MidBoss,MidBoss,2017-01-17,2017-01-17,2017-01-17
10,20XX,Actionplatform,Batterystaple Games,Batterystaple Games,2018-07-10,2018-07-10,2018-07-10
11,The 25th Ward: The Silver Case,Visual novel,Grasshopper Manufacture,NIS America,2018-03-15,2018-03-13,2018-03-13
12,2Dark,"Horror, stealth",Gloomywood,Bigben Interactive,2017-06-29,2017-03-10,2017-03-10
13,428: Shibuya Scramble,Visual novel,Abstraction Games,Spike Chunsoft,2018-09-06,2018-09-21,2018-09-04
14,7 Days to Die,Survival,The Fun Pimps,Telltale Publishing,,2016-07-01,2016-06-28
15,8-bit Adventure Anthology: Volume I,Point-and-click adventure,Abstraction Games,Abstraction Games,,2017-10-31,2017-10-31
16,8-Bit Armies,Real-time strategy,Petroglyph Games,Soedesco,,2018-09-21,2018-09-21
17,8-Bit Hordes,Real-time strategy,Petroglyph Games,Soedesco,,2019-02-01,2019-02-01
18,8-Bit Invaders,Real-time strategy,Petroglyph Games,Soedesco,,2019-02-26,2019-02-26
19,88 Heroes,Platform,Bitmap Bureau,Rising Star Games,2017-03-24,2017-03-24,2017-03-24
20,9 Monkeys of Shaolin,Beat 'em up,Sobaka Studio,Buka Entertainment,,,
21,911 Operator,Platform,Jutsu Games,Code Horizon,,2017-11-08,2017-11-08
22,99Vidas,Beat 'em up,QuByte Interactive,QuByte Interactive,,2017-12-08,2017-07-18
23,A-Train Express,Simulation,Artdink,Degica Games,2017-12-21,2019-05-22,2019-06-07
24,Aaero,Shooter,Mad Fellows Games,Reverb Triple XP,2018-01-10,2017-04-11,2017-04-11
25,Aaru's Awakening,Platform,Lumenox Games,Lumenox Games,2015-08-05,2015-04-08,2015-04-07
26,A Boy and His Blob,"Platform, puzzle",Abstraction Games,Majesco Entertainment,,2016-01-19,2016-01-19
27,Absolute Drift: Zen Edition,Racing,Funselektor Labs,Flippfly,,2016-08-16,2016-08-23
28,Absolver,Action role-playing,Sloclap,Devolver Digital,2019-08-22,2017-08-29,2017-08-29
29,Abyss: The Wraiths of Eden,Hidden object,Artifex Mundi,Artifex Mundi,,2017-10-20,2017-10-20
30,Abzû,"Adventure, art",Giant Squid,505 Games,2016-08-02,2016-08-02,2016-08-02
31,Accel World vs. Sword Art Online: Millennium Twilight,Action role-playing,Artdink,Bandai Namco Entertainment,2017-03-16,2017-07-07,2017-07-07
32,Ace Combat 7: Skies Unknown,Flight simulator,Project Aces,Bandai Namco Entertainment,2019-01-18,2019-01-18,2019-01-18
33,A Certain Magical Virtual-On,Action,Sega,Sega,2018-02-15,,
34,Achtung! Cthulhu Tactics,Tactical role-playing,Auroch Digital,Ripstone,,2018-11-21,2018-11-20
35,Act It Out! A Game of Charades,Party,Snap Finger Click,Snap Finger Click,,2016-01-12,2016-01-05
36,Action Henk,Platform,RageSquid,Curve Digital,2016-03-09,2016-03-08,2016-03-08
37,Adios Amigos,Action-adventure,Cosmic Picnic,Cosmic Picnic,,,
38,Adrift,First-person,Three One Zero,505 Games,,2016-07-15,2016-07-15
39,The Adventure Pals,"Adventure, role-playing",Massive Monster,Armor Games,,2018-04-03,2018-04-03
40,Adventures of Pip,Platform,Tic Toc Games,Tic Toc Games,,2016-02-09,2015-08-18
41,Adventures of Scarlet Curiosity,Action role-playing,Ankake Supa,Mediascape,2016-09-27,,
42,Adventure Time: Finn & Jake Investigations,Action-adventure,Vicious Cycle Software,Little Orbit,,2015-11-06,2015-10-20
43,Aegis Defenders,"Action, strategy",Guts Department,Guts Department,2018-02-08,2018-02-08,2018-02-08
44,Aegis of Earth: Protonovus Assault,Tower defense,Acquire,Aksys Games,2016-08-01,2016-04-22,2016-03-15
45,AER: Memories of Old,Adventure,Forgotten Key,Daedalic Entertainment,2017-10-25,2017-10-25,2017-10-25
46,AeternoBlade,Action-adventure,Corecell Technology,PQube,2016-04-26,2015-08-05,2015-08-04
47,AeternoBlade II,Action-adventure,Corecell Technology,PQube,,2019-10-11,2019-10-11
48,AFL Evolution,Sports,Wicked Witch Software,Tru Blu Entertainment,,2017-05-05,2017-05-05
49,Afterparty,Adventure,Night School Studio,Night School Studio,,2019-10-29,2019-10-29
50,Agatha Christie: The ABC Murders,Point-and-click adventure,Artefacts Studio,Microïds,2017-04-28,2016-02-04,2016-02-23
51,Agent A: A Puzzle in Disguise,Adventurepuzzle,Yak,Yak,,2019-08-29,2019-08-29
52,Agents of Mayhem,"Action, third-person",Volition,Deep Silver,2017-12-07,2017-08-18,2017-08-15
53,Age of Wonders: Planetfall,4Xturn-based strategy,Triumph Studios,Paradox Interactive,,2019-08-06,2019-08-06
54,Agony,Survival horror,Madmind Studio,PlayWay,,2018-05-29,2018-05-29
55,A Hat in Time,Platform,Gears for Breakfast,Gears for Breakfast,,2017-12-06,2017-12-06
56,A Healer Only Lives Twice,Dungeon crawl,Pon Pon Games,Platine Dispositif,,2017-07-25,2017-07-25
57,AI-Limit,Unknown,Sense Games,Palm Pioneer,,,
58,AI: The Somnium Files,Adventure,Spike Chunsoft,Spike Chunsoft,2019-09-19,2019-09-20,2019-09-17
59,AIPD,Shoot 'em up,Blazing Badger,Blazing Badger,,2016-01-29,2016-01-29
60,Air Conflicts: Pacific Carriers,Flight simulator,Games Farm,Kalypso Media,,2015-11-06,2015-11-03
61,Air Conflicts: Vietnam,Flight simulator,Games Farm,bitComposer Interactive,,2014-06-27,2014-09-16
62,Airport Simulator 2019,Simulation,Toplitz Productions,UIG Entertainment,,2018-08-15,2019-04-09
63,Airship Q,Action role-playing,Miracle Positive,Miracle Positive,2015-11-19,,
64,Akiba's Beat,Action role-playing,Acquire,Marvelous USA,2016-12-15,2017-03-19,2017-05-02
65,Akiba's Trip: Undead & Undressed,Action role-playing,Acquire,Marvelous USA,2014-07-03,2015-02-13,2014-11-25
66,Alaloth: Champions of The Four Kingdoms,Action role-playing,Gamera,Gamera,,,
67,Alekhine's Gun,"Action, stealth",Haggard Games,Maximum Games,2015-11-10,2016-03-11,2015-11-01
68,Alienation,Shoot 'em up,Housemarque,Sony Interactive Entertainment,2016-06-02,2016-04-26,2016-04-26
69,Alien: Isolation,Survival horror,Creative Assembly,Sega,2015-06-11,2014-10-07,2014-10-07
70,The Alliance Alive HD Remastered,Role-playing,Cattle Call,JP: FuRyuWW: NIS America,2019-10-10,2019-10-11,2019-10-08
71,Alone with You,Adventure,Benjamin Rivers,Benjamin Rivers,,2016-08-23,2016-08-23
72,Alwa's Awakening,Platformer,Elden Pixels,Elden Pixels,,2019-03-21,2019-03-21
73,Always Sometimes Monsters,Role-playing,Vagabond Dog,Devolver Digital,,2017-10-10,2017-10-10
74,Amazing Discoveries in Outer Space,Platform,Cosmic Picnic,Cosmic Picnic,,2016-02-03,2016-02-02
75,The Amazing Spider-Man 2,Action-adventure,Beenox,Activision,2014-09-04,2014-05-02,2014-04-29
76,American Fugitive,"Action, sandbox",Curve Digital,Fallen Tree Games,,2019-05-21,2019-05-21
77,Amnesia: Collection,Survival horror,Frictional Games,Frictional Games,,2016-11-22,2016-11-22
78,Among the Sleep,Survival horror,Krillbite Studio,Krillbite Studio,,2015-12-10,2015-12-10
79,Amplitude,"Music, rhythm",Harmonix,Harmonix,,2016-01-05,2016-01-05
80,Anarcute,Action,AnarTeam,AnarTeam,2018-02-20,,
81,Ancestors Legacy,Real-time strategy,Destructive Creations,JP: DMM GamesWW: Destructive Creations,2019-12-19,2019-08-13,2019-08-13
82,Ancestors: The Humankind Odyssey,Survival,Panache Digital Games,Private Division,2019-12-06,2019-12-06,2019-12-06
83,Anew: The Distant Light,"Action, puzzle",Resonator,Resonator,,,
84,AngerForce: Reloaded,Shoot 'em up,Screambox Studio,Zodiac Interactive,2019-08-08,2019-04-02,2019-04-02
85,Angry Birds Star Wars,Puzzle,Exient Entertainment,Activision,,2013-11-29,2013-11-15
86,Anima: Gate of Memories,Action role-playing,Anima Project,BadLand Games,2017-01-01,2016-06-03,2017-03-21
87,Anno: Mutantionem,Unknown,ThinkingStars,ThinkingStars,,,
88,Anodyne,Role-playing,Analgesic Productions,Nnooo,,2018-09-19,2018-09-18
