,Titles,Genres,Developers,Publishers,ReleaseDate_JP,ReleaseDate_EU,ReleaseDate_NA,TitlesHTML,SearchLinks,HistScrapped,Reviews,LogRegSlope,LogRegIntcpt,InitPrice,MappedGenres,MappedPublishers,MappedDevelopers,ReleaseDate_Agg,Release_Year,Release_Month,Release_Day,Success
0,#killallzombies,Shooter,Beatshapers,Beatshapers,,2014-11-12,2014-10-28,killallzombies,https://psprices.com/region-us/search/?q=killallzombies&platform=PS4&dlc=hide,True,62.0,0.0006129776926936141,-0.47051137660210574,13.99,Shooter,LowPublishers,LowDevelopers,2014-10-28,2014.0,10.0,28.0,0
1,10 Second Ninja X,Platform,Four Circle Interactive,Curve Digital,,2016-07-19,2016-07-19,10+second+ninja+x,https://psprices.com/region-us/search/?q=10+second+ninja+x&platform=PS4&dlc=hide,True,,,,,Platformer,HighPublishers,LowDevelopers,2016-07-19,2016.0,7.0,19.0,1
2,100ft Robot Golf,Sports,No Goblin,No Goblin,,2016-10-10,2016-10-10,100ft+robot+golf,https://psprices.com/region-us/search/?q=100ft+robot+golf&platform=PS4&dlc=hide,True,58.0,-0.0022969435929511375,-0.14985476916040769,19.99,Sports,LowPublishers,MedDevelopers,2016-10-10,2016.0,10.0,10.0,1
3,101 Ways to Die,"Platform, puzzle",Four Door Lemon,Vision Games,,2016-03-22,2016-03-22,101+ways+to+die,https://psprices.com/region-us/search/?q=101+ways+to+die&platform=PS4&dlc=hide,True,65.0,-0.001414451503554606,-0.06443768011763316,14.99,Puzzle,LowPublishers,LowDevelopers,2016-03-22,2016.0,3.0,22.0,1
4,11-11: Memories Retold,Adventure,AardmanDigixArt,Bandai Namco Entertainment,2018-11-09,2018-11-09,2018-11-09,11-11+memories+retold,https://psprices.com/region-us/search/?q=11-11+memories+retold&platform=PS4&dlc=hide,True,77.0,-0.0022154891703057623,0.08365732990105858,29.99,Adventure,HighPublishers,LowDevelopers,2018-11-09,2018.0,11.0,9.0,1
5,13 Sentinels: Aegis Rim,Adventure,Vanillaware,Atlus,2019-11-28,,,13+sentinels+aegis+rim,https://psprices.com/region-us/search/?q=13+sentinels+aegis+rim&platform=PS4&dlc=hide,False,,,,,Adventure,MedPublishers,MedDevelopers,2019-11-28,2019.0,11.0,28.0,1
6,140,Platform,Double Fine Productions,Abstraction Games,,2016-09-01,2016-09-01,140,https://psprices.com/region-us/search/?q=140&platform=PS4&dlc=hide,True,75.0,-0.003228377018889923,-0.01012205426223371,7.99,Platformer,LowPublishers,HighDevelopers,2016-09-01,2016.0,9.0,1.0,1
7,198X,Arcade,Hi-Bit Studios,Reset Media,,2019-06-20,2019-06-16,198x,https://psprices.com/region-us/search/?q=198x&platform=PS4&dlc=hide,True,70.0,0.0,0.0,9.99,Action,LowPublishers,LowDevelopers,2019-06-16,2019.0,6.0,16.0,0
8,1001 Spikes,Platform,8bits Fanatics,Nicalis,2015-11-27,2015-10-07,2014-06-03,1001+spikes,https://psprices.com/region-us/search/?q=1001+spikes&platform=PS4&dlc=hide,True,79.0,0.0,0.0,14.99,Platformer,MedPublishers,LowDevelopers,2014-06-03,2014.0,6.0,3.0,0
9,2064: Read Only Memories,Adventure,MidBoss,MidBoss,2017-01-17,2017-01-17,2017-01-17,2064+read+only+memories,https://psprices.com/region-us/search/?q=2064+read+only+memories&platform=PS4&dlc=hide,True,79.0,-8.351614173901154e-05,-0.2728418824112891,19.99,Adventure,LowPublishers,LowDevelopers,2017-01-17,2017.0,1.0,17.0,0
